case_id,issue_id,fact_id,text,expected_preservation,relation_engaged,mention_mode,distortion_flags,chain_expectation,reason,dataset_role
polar_001,issue_polar,fact_polar_01,활주로는 -52°C로 항공유 결빙 허용 한계를 벗어났다,faithful,True,asserted,,,값과 한계 비교를 보존,independent_calibration_draft
polar_002,issue_polar,fact_polar_01,활주로가 영하 52도지만 항공유 결빙 한계 안이다,contradicted,True,asserted,polarity_flip,,숫자는 같지만 한계 관계 반전,independent_calibration_draft
polar_003,issue_polar,fact_polar_02,환자의 헤모글로빈은 사흘 사이 이전의 절반이 됐다,faithful,True,asserted,,,동의어와 기간·비율 보존,independent_calibration_draft
polar_004,issue_polar,fact_polar_03,가장 가까운 대체 공항까지 편도 여섯 시간이 걸린다,partial,True,asserted,compound_slot_loss,,중간 급유지 부재 누락,independent_calibration_draft
polar_005,issue_polar,fact_polar_05,지난겨울 동일 기종이 비슷한 상황에서 뜨자마자 회항한 전례가 있으니 이번 비행도 반드시 실패한다,faithful,True,asserted,historical_case_to_universal,,원 사례 보존과 과잉 결론을 별도 기록,independent_calibration_draft
polar_006,issue_polar,fact_polar_06,다음 정기 보급기는 110일 뒤지만 비정기 구조편 여부는 알 수 없다,faithful,True,asserted,,,정기편 범위를 보존,independent_calibration_draft
polar_007,issue_polar,fact_polar_07,의무관은 이동 충격이 출혈을 악화할 우려가 있다고 소견에 적었다,faithful,True,attributed,,,출처와 가능성 보존,independent_calibration_draft
polar_008,issue_polar,fact_polar_07,흔들림은 출혈을 반드시 키운다,partial,True,asserted,probability_to_certainty;source_dropped,,관계 일부와 양태·출처 왜곡,independent_calibration_draft
polar_009,issue_polar,fact_polar_11,200km 떨어진 이웃 기지에 외과의가 있지만 왕래 수단은 설상차뿐이다,faithful,True,asserted,,,외과의·거리·유일 수단 보존,independent_calibration_draft
polar_010,issue_polar,fact_polar_12,본부가 후송을 승인했다,absent,True,asserted,authority_overreach,,위임·비지시를 보존하지 않고 강한 승인으로 대체,independent_calibration_draft
exile_001,issue_exile,fact_exile_01,수사 명단에 이름이 오른 사람은 정착민 2천 명 중 31명이며 유죄 여부는 확정되지 않았다,faithful,True,asserted,,,부분-전체와 증거 경계 보존,independent_calibration_draft
exile_002,issue_exile,fact_exile_01,정착민 2천 명이 모두 검은 갈대 조직원이다,contradicted,True,asserted,group_scope_expansion,,하위집단을 전체로 확대,independent_calibration_draft
exile_003,issue_exile,fact_exile_02,최근 1년 밀수 적발은 정착 전의 아홉 배였지만 원인은 확정되지 않았다,faithful,True,asserted,,,적발 비교와 인과 경계 보존,independent_calibration_draft
exile_004,issue_exile,fact_exile_02,정착민 유입 때문에 밀수가 아홉 배 늘었다,partial,True,asserted,correlation_to_causation,,배수는 남고 적발/인과가 왜곡,independent_calibration_draft
